,Census.Tract.GEOID,BUILDING.ID,BUILDING.ADDRESS,CARBON.DIOXIDE.EMISSIONS,COMPLIANCE.STATUS,X.DIFFERENCE.SOURCE.EUI,X.DIFFERENCE.SITE.EUI,ENERGY.STAR.SCORE,ENERGY.STAR.CERTIFICATION.ELIGIBILITY,ENERGY.STAR.CERTIFICATION.LAST.APPROVAL.DATE,ENERGY.STAR.CERTIFICATION.YEARS.CERTIFIED,ENTITY.RESPONSIBLE.FOR.BENCHMARK,GROSS.BUILDING.FLOOR.AREA,INDOOR.WATER.USE,INDOOR.WATER.USE.INTENSITY,NUMBER.OF.BUILDINGS,OCCUPANCY,OUTDOOR.WATER.USE,POSTAL.CODE,PROGRAM.YEAR,PROPERTY.TYPE,SITE.EUI,Source.EUI,TOTAL.WATER.USE,WEATHER.NORMALIZED.SITE.EUI,WEATHER.NORMALIZED.SOURCE.EUI,YEAR.BUILT,AIN,LADBS.Building.Category,CityOwned,Building.Wave,Longitude,Latitude,CES.Score,CES.Score.Percentile,Disadvantaged.Community,building.type,year.built..year.,floor_area,baseline.annual.site.energy.use.intensity..kWh.m2.,floor_area_2,predicted_cooling_capacity_tons
5032,6037212303.0,12831,685 S NEW HAMPSHIRE AVE,,0,,,,,,,,,,,,,,90005,2020,,,,,,,,041,"100,000+",0,1,-118.2929,34.060413,37.8118372337006,72.8843485937697,0.0,Multi Family House,1990s,112785,40.8,12720456225,0.382173
3348,6037191000.0,12985,1540 N VINE ST,210.7,1,-64.6,-64.6,,0.0,,Not Available,Camden,100000.0,2599.9,13.0,1.0,95.0,,90028,2017,Multifamily Housing,13.9,43.6,2599.9,,,2016.0,035,"100,000+",0,3,-118.32665,34.098755,56.870156447012796,94.53903392609409,1.0,Multi Family House,1990s,100000,13.9,10000000000,0.233694
5010,6037212303.0,15794,688 S BERENDO ST,,0,,,,,,,,,,,,,,90005,2017,,,,,,,,040,"50,000 to 99,999",0,3,-118.29413600000001,34.06022,37.8118372337006,72.8843485937697,0.0,Multi Family House,1990s,105455,32.8,11120757025,0.322368
3689,6037199000.0,20589,3526 N MARMION WAY,153.2,0,9.3,9.3,36.0,0.0,,Not Available,Unknown,55931.0,,,1.0,100.0,,90065,2019,Multifamily Housing,46.5,75.8,2969.3,46.0,75.2,2016.0,013,"50,000 to 99,999",0,5,-118.21518999999999,34.08652,61.191203761705296,96.74612183125241,1.0,Multi Family House,1990s,55931,25.9,3128276761,0.193723
4311,6037208902.0,21780,681 S BONNIE BRAE ST,220.7,1,-6.5,-6.5,60.0,0.0,,Not Available,"Conservice, LLC",68659.0,,,2.0,100.0,,90057,2019,Multifamily Housing,51.0,104.6,11.3,50.7,104.3,2012.0,904,"100,000+",0,1,-118.27418999999999,34.05598,44.045290587021,81.6118047673099,1.0,Multi Family House,1990s,68659,51.0,4714058281,0.316243
706,6037120030.0,112217100365,14655 W BLYTHE ST,119.0,1,-27.0,-27.0,88.0,0.0,,Not Available,"Conservice, LLC",54014.0,,,0.0,100.0,,91402,2017,Multifamily Housing,33.2,75.4,3.5,34.0,76.3,2011.0,035,"50,000 to 99,999",0,3,-118.45196999999999,34.215218,51.3461075554974,90.21314163198392,1.0,Multi Family House,1990s,54014,30.9,2917512196,0.20503400000000002
5274,6037213320.0,112217100367,1053 S NEW HAMPSHIRE AVE,,0,,,,,,,,,,,,,,90006,2020,,,,,,,,025,"50,000 to 99,999",0,4,-118.29266000000001,34.051722999999996,47.3267818823401,85.86202547610041,1.0,Multi Family House,1990s,61115,31.7,3735043225,0.22159099999999998
3359,6037191000.0,112217100381,5841 W CARLTON WAY,75.5,1,-42.4,-42.4,98.0,0.0,,Not Available,"Vert Energy Group, Inc.",53275.0,,,1.0,100.0,,90028,2018,Multifamily Housing,23.0,43.7,1359.2,22.9,43.6,2013.0,021,"50,000 to 99,999",0,1,-118.31716999999999,34.100475,56.870156447012796,94.53903392609409,1.0,Multi Family House,1990s,53275,23.0,2838225625,0.18094000000000002
3365,6037191000.0,112217100445,1726 N GOWER ST,,0,,,,,,,,,,,,,,90028,2017,,,,,,,,904,"50,000 to 99,999",1,3,-118.32236999999999,34.102425,56.870156447012796,94.53903392609409,1.0,Multi Family House,1990s,35845,42.9,1284864025,0.205188
153,6037106648.0,112217100465,12455 N SAN FERNANDO ROAD,94.0,1,-48.5,-48.5,100.0,1.0,,Not Available,"Charles Dunn Real Estate Services, Inc.",69095.0,,,1.0,100.0,,91342,2017,Multifamily Housing,17.9,56.3,1791.6,17.9,56.3,2015.0,052,"50,000 to 99,999",0,3,-118.45617,34.296795,44.9321922798016,82.7216546853323,1.0,Multi Family House,1990s,69095,17.9,4774119025,0.193589
1862,6037134002.0,112217100466,20750 W SHERMAN WAY,263.0,1,168.3,168.3,1.0,0.0,,Not Available,The John Stewart Company,66739.0,,,1.0,95.0,,91306,2018,Multifamily Housing,63.7,122.9,5973.8,,,2000.0,037,"50,000 to 99,999",0,4,-118.585205,34.20094,36.556997259548105,70.90427544457059,0.0,Multi Family House,1990s,66739,63.7,4454094121,0.375927
3733,6037204200.0,112217100468,2917 E 1ST ST,128.2,1,-13.7,-13.7,71.0,0.0,,Not Available,The John Stewart Company,71601.0,,,1.0,100.0,,90033,2018,Multifamily Housing,27.9,60.3,2375.8,28.1,60.5,2014.0,036,"50,000 to 99,999",0,5,-118.20286999999999,34.040657,53.19442534586471,91.72657333837809,1.0,Multi Family House,1990s,71601,22.6,5126703201,0.21223499999999998
3755,6037204910.0,112217100489,3535 E WHITTIER BLVD,61.1,0,-69.4,-69.4,100.0,1.0,,Not Available,WegoWise,76449.0,,,1.0,100.0,,90023,2019,Multifamily Housing,12.8,25.4,846.8,12.7,25.3,2014.0,032,"50,000 to 99,999",0,5,-118.19758600000002,34.026295000000005,60.11948012373279,96.4686593517468,1.0,Multi Family House,1990s,76449,12.8,5844449601,0.19104200000000002
5862,6037229300.0,112217100492,5000 S MAIN ST,73.5,1,-71.8,-71.8,100.0,1.0,,Not Available,Retirement Housing Foundation,79809.0,,,1.0,100.0,,90037,2018,Multifamily Housing,16.1,23.4,5217.0,16.2,23.5,2016.0,053,"50,000 to 99,999",0,2,-118.27395,33.997353000000004,62.1979227357382,97.1749274813974,1.0,Multi Family House,1990s,79809,31.1,6369476481,0.258238
7212,,112217100498,12453 W FIELDING CIR,,0,,,,,,,,,,,,,,90094,2018,,,,,,,,BRK,"50,000 to 99,999",0,5,,,,,,Multi Family House,1990s,118397,27.5,14017849609,0.325142
2292,6037139600.0,112217100503,4940 N PASO ROBLES AVE,97.0,1,-49.4,-49.4,100.0,0.0,,Not Available,"LivCor, LLC",91152.0,,,1.0,100.0,,91316,2017,Multifamily Housing,14.0,44.0,2013.4,14.0,44.0,2014.0,019,"50,000 to 99,999",0,2,-118.50216999999999,34.160441999999996,17.974747481279998,33.068482784714305,0.0,Multi Family House,1990s,91152,14.0,8308687104,0.218969
3367,6037191000.0,112217100519,5837 W SUNSET BLVD,,0,,,,,,,,,,,,,,90028,2019,,,,,,,,053,"50,000 to 99,999",0,5,-118.316635,34.098064,56.870156447012796,94.53903392609409,1.0,Multi Family House,1990s,70812,37.8,5014339344,0.264543
6323,6037265602.0,112217100523,10700 W WILSHIRE BLVD,,0,,,,,,,,,,,,,,90024,2019,,,,,,,,223,"50,000 to 99,999",0,2,-118.43591,34.060814,15.774884409374499,27.2039349224366,0.0,Multi Family House,1990s,86308,41.1,7449070864,0.316052
2908,6037189800.0,112217100524,7928 W HOLLYWOOD BLVD,,0,,,,,,,,,,,,,,90046,2020,,,,,,,,178,"50,000 to 99,999",0,3,-118.36243999999999,34.101290000000006,25.1747794903476,50.2711565140623,0.0,Multi Family House,1990s,98000,42.3,9604000000,0.352001
7265,,112217100614,12665 W VILLAGE LANE,1430.7,1,,,,0.0,,Not Available,The Irvine Company,486957.0,,,4.0,100.0,,90094,2017,Multifamily Housing,47.0,89.9,19055.1,48.8,91.7,2016.0,106,"100,000+",0,3,,,,,,Multi Family House,1990s,486957,47.0,237127119849,0.216646
1547,6037127910.0,112217100622,6828 N VAN NUYS BLVD,187.7,1,-19.1,-19.1,79.0,0.0,,Not Available,DSS HOLDINGS LLC,95720.0,,,2.0,95.0,,91405,2018,Multifamily Housing,31.1,64.0,2877.8,31.8,64.7,2015.0,016,"100,000+",0,2,-118.44871499999999,34.194748,47.425827678724296,86.0259805776264,1.0,Multi Family House,1990s,95720,30.4,9162318400,0.289686
4355,6037209102.0,112217100625,1515 W WILSHIRE BLVD,,0,,,,,,,,,,,,,,90017,2020,,,,,,,,037,"100,000+",0,3,-118.26872,34.05475,52.002369099653905,90.73023079833521,1.0,Multi Family House,1990s,210910,54.0,44483028100,0.724716
24,6037102103.0,112217100628,8700 N GLENOAKS BLVD,158.6,1,-39.9,-39.9,97.0,0.0,,Not Available,"Vert Energy Group, Inc.",116646.0,,,1.0,100.0,,91352,2018,Multifamily Housing,20.7,48.0,4257.9,20.8,48.1,1951.0,BRK,"100,000+",0,5,-118.36442,34.22775,27.1299584626187,54.1304073653676,0.0,Multi Family House,1950s,116646,20.7,13606289316,0.884951
6932,6037276000.0,112217100629,6040 W CENTER DR,1048.3,1,-42.7,-42.7,100.0,0.0,,Not Available,equity residential,604522.0,,,1.0,95.0,,90045,2018,Multifamily Housing,27.9,54.9,11557.4,27.9,54.9,2016.0,081,"100,000+",0,5,-118.39346,33.97824,23.1450475220195,45.5038466389204,0.0,Multi Family House,1990s,247023,22.9,61020362529,0.47999899999999995
3466,6037191820.0,112217100636,738 N WILCOX AVE,264.1,1,2.5,2.5,45.0,0.0,,Not Available,"Conservice, LLC",86469.0,,,1.0,90.0,,90038,2018,Multifamily Housing,48.7,98.2,3132.1,48.9,98.4,2014.0,031,"100,000+",0,4,-118.330956,34.08422,48.474888283882706,87.2619498045151,1.0,Multi Family House,1990s,110367,38.7,12180874689,0.364329
4121,6037207900.0,112217100639,1200 S GRAND AVE,,0,,,,,,,,,,,,,,90015,2020,,,,,,,,039,"100,000+",0,5,-118.26338,34.040040000000005,35.3254062573553,69.05032160423761,0.0,Multi Family House,1990s,307429,34.5,94512590041,0.5460550000000001
7291,,112217100666,12411 W FIELDING CIR,,0,,,,,,,,,,,,,,90094,2020,,,,,,,,BRK,"100,000+",0,4,,,,,,Multi Family House,1990s,630955,46.5,398104212025,0.03058
5037,6037212303.0,112217100668,680 S BERENDO ST,337.3,1,-15.8,-15.8,,0.0,,Not Available,equity residential,105455.0,,,1.0,95.0,,90005,2018,Multifamily Housing,51.8,99.4,5403.9,51.8,99.4,2014.0,010,"100,000+",0,5,-118.29413000000001,34.060513,37.8118372337006,72.8843485937697,0.0,Multi Family House,1990s,105455,46.3,11120757025,0.394419
4112,6037207900.0,112217100678,1230 S OLIVE ST,611.0,1,-48.7,-48.7,99.0,0.0,,Not Available,"Vert Energy Group, Inc.",543000.0,,,1.0,100.0,,90015,2018,Multifamily Housing,17.3,39.0,44.9,17.3,39.0,2017.0,BRK,"100,000+",0,5,-118.26257,34.039043,35.3254062573553,69.05032160423761,0.0,Multi Family House,1990s,543000,18.0,294849000000,0.073546
6925,6037275602.0,112217100680,12855 W RUNWAY ROAD,870.4,1,,,,0.0,,Not Available,The Irvine Company,353830.0,,,3.0,100.0,,90094,2017,Multifamily Housing,39.9,73.1,10190.7,41.1,74.3,2016.0,054,"100,000+",0,1,-118.41953999999998,33.975334000000004,20.1005866343663,38.529448858620206,0.0,Multi Family House,1990s,353830,44.7,125195668900,0.549142
243,6037113231.0,366050904621,23901 LOS ROSAS ST,61.0,1,-29.8,-29.8,94.0,0.0,,Not Available,"Harges Family Partnership, LP",24656.0,,,1.0,95.0,,91304,2018,Multifamily Housing,40.7,74.2,996.4,43.3,76.9,1980.0,017,"20,000 to 49,999",0,1,-118.646965,34.224083,20.444368435734802,39.46273174423,0.0,Multi Family House,1980s,24656,37.8,607918336,0.251192
1969,6037134423.0,370244899060,23221 SATICOY ST,121.4,0,-22.6,-22.6,,0.0,,Not Available,Schneider Electric,55151.0,,,1.0,90.0,,91304,2019,Retail Store,33.2,93.0,1157.6,33.2,93.0,2000.0,007,"20,000 to 49,999",0,1,-118.63292,34.208237,21.1962976906553,41.3797452389961,0.0,Retail,1990s,55151,33.2,3041632801,1.092278
2118,6037137402.0,370640881622,23150 AVENUE SAN LUIS,,0,,,,,,,,,,,,,,91364,2020,,,,,,,,035,"100,000+",0,2,-118.63161000000001,34.1613,24.450639699815802,48.8460083238744,0.0,Multi Family House,1990s,108000,23.7,11664000000,0.286455
2126,6037137402.0,371094881812,23100 AVENUE SAN LUIS,278.0,1,-54.2,-54.2,100.0,1.0,,Not Available,equity residential,224000.0,,,1.0,95.0,,91364,2019,Multifamily Housing,19.7,43.2,7093.8,19.8,43.2,1991.0,035,"100,000+",0,2,-118.63068,34.161636,24.450639699815802,48.8460083238744,0.0,Multi Family House,1990s,224000,14.7,50176000000,0.41343900000000006
2072,6037135102.0,373224893625,22761 VANOWEN ST,50.8,1,-39.7,-39.7,98.0,1.0,,Not Available,"Alon West Hills, LLC",33170.0,41.6,1.26,1.0,100.0,,91307,2019,Multifamily Housing,21.8,60.9,41.6,21.8,60.9,2008.0,012,"20,000 to 49,999",0,3,-118.62253,34.193726,28.309902501154102,56.652793542691406,0.0,Multi Family House,1990s,33170,21.8,1100248900,0.14563299999999998
2077,6037135111.0,376346890898,22301 VICTORY BLVD,,0,,,,,,,,,,,,,,91303,2020,,,,,,,,012,"50,000 to 99,999",0,5,-118.612656,34.186462,21.640424020314605,42.338251986379106,0.0,Multi Family House,1980s,69931,37.2,4890344761,0.386575
7330,,377158890270,22122 W VICTORY BLVD,,0,,,,,,,,,,,,,,91367,2020,,,,,,,,023,"20,000 to 49,999",0,1,,,,,,Multi Family House,1970s,58824,43.5,3460262976,0.402546
7347,,377628890108,22122 W VICTORY BLVD,,0,,,,,,,,,,,,,,91367,2020,,,,,,,,023,"20,000 to 49,999",0,5,,,,,,Multi Family House,1970s,59048,44.8,3486666304,0.411288
2100,6037135114.0,377659890046,22122 W VICTORY BLVD,132.7,1,-8.7,-8.7,63.0,0.0,,Not Available,"AvalonBay Communities, Inc",50101.0,,,1.0,95.0,,91367,2018,Multifamily Housing,43.7,79.2,2614.8,45.3,80.9,1971.0,023,"20,000 to 49,999",0,4,-118.60923000000001,34.186493,37.7379730273309,72.77084121579009,0.0,Multi Family House,1970s,50101,43.7,2510110201,0.371985
7349,,377659890356,22122 W VICTORY BLVD,158.1,1,-9.5,-9.5,64.0,0.0,,Not Available,"AvalonBay Communities, Inc",58153.0,,,1.0,95.0,,91367,2018,Multifamily Housing,44.7,81.9,3214.9,46.3,83.7,1971.0,023,"20,000 to 49,999",0,4,,,,,,Multi Family House,1970s,58153,44.7,3381771409,0.407304
2083,6037135111.0,377844893247,6750 GLADE AVE,57.9,1,-12.2,-12.2,71.0,0.0,,Not Available,"Palmview Regency, LLC",20800.0,,,1.0,100.0,,91303,2019,Multifamily Housing,44.5,88.9,1286.6,44.7,89.1,1984.0,076,"20,000 to 49,999",0,4,-118.60808600000001,34.1929,21.640424020314605,42.338251986379106,0.0,Multi Family House,1980s,20800,44.5,432640000,0.266278
2081,6037135111.0,378043893046,6670 GLADE AVE,,0,,,,,,,,,,,,,,91303,2020,,,,,,,,074,"50,000 to 99,999",0,4,-118.60808600000001,34.191845,21.640424020314605,42.338251986379106,0.0,Multi Family House,1960s,85239,2.6,7265687121,0.262905
7128,,378329885872,5633 TOPANGA CANYON BLVD,,0,,,,,,,,,,,,,,91367,2020,,,,,,,,022,"100,000+",0,2,,,,,,Multi Family House,1960s,125700,15.9,15800490000,0.426997
1964,6037134306.0,378545899428,7700 TOPANGA CANYON BLVD,234.2,1,-24.6,-24.6,86.0,0.0,,Not Available,"Seltzer-Doren Management Co., Inc.",107034.0,,,15.0,100.0,,91304,2017,Multifamily Housing,34.7,68.0,677.0,37.2,70.7,1986.0,040,"50,000 to 99,999",0,5,-118.60587,34.2103,27.382137190869397,54.622272669945794,0.0,Multi Family House,1980s,107034,36.1,11456277156,0.508794
1929,6037134305.0,378594902311,8220 TOPANGA CANYON BLVD,,0,,,,,,,,,,,,,,91304,2020,,,,,,,,058,"20,000 to 49,999",0,1,-118.60588999999999,34.219066999999995,40.4977953187772,76.71837558330179,1.0,Multi Family House,1980s,37006,34.2,1369444036,0.27089
1961,6037134306.0,378625900138,7810 TOPANGA CANYON BLVD,,0,,,,,,,,,,,,,,91304,2019,,,,,,,,054,"50,000 to 99,999",0,5,-118.60587,34.21212,27.382137190869397,54.622272669945794,0.0,Multi Family House,1980s,55500,26.9,3080250000,0.290985
2089,6037135114.0,378702892165,6550 TOPANGA CANYON BLVD,575.8,1,-4.8,-4.8,53.0,0.0,,Not Available,Neiman Marcus,125875.0,1106.6,8.79,0.0,100.0,,91303,2017,Retail Store,60.3,189.4,1106.6,58.2,182.9,2007.0,030,"100,000+",0,3,-118.60581,34.189507,37.7379730273309,72.77084121579009,0.0,Retail,1990s,125875,65.0,15844515625,3.040064
1957,6037134305.0,378702902344,21921 LANARK ST,45.8,1,-74.0,-74.0,,0.0,,Not Available,Shylo LLC,32360.0,,,1.0,100.0,,91304,2019,Multifamily Housing,26.0,30.8,3935.5,26.2,31.0,1965.0,052,"20,000 to 49,999",0,3,-118.60461399999998,34.217575,40.4977953187772,76.71837558330179,1.0,Multi Family House,1960s,32360,26.1,1047169600,0.229663
1968,6037134306.0,378732898794,21915 SATICOY ST,,0,,,,,,,,,,,,,,91304,2019,,,,,,,,024,"20,000 to 49,999",0,3,-118.60470600000001,34.208286,27.382137190869397,54.622272669945794,0.0,Multi Family House,1970s,22000,20.7,484000000,0.197883
253,6037113233.0,378898903149,21901 ROSCOE BLVD,98.4,1,-7.3,-7.3,62.0,0.0,,Not Available,Martin and Marion Schneider,28000.0,,,1.0,100.0,,91304,2018,Multifamily Housing,59.1,100.0,2879.3,60.1,101.1,1977.0,030,"20,000 to 49,999",0,5,-118.60436999999999,34.219691999999995,32.5481806105345,64.0686089040232,0.0,Multi Family House,1970s,28000,57.7,784000000,0.366844
1943,6037134305.0,378980902803,21834 ROSCOE BLVD,,0,,,,,,,,,,,,,,91304,2020,,,,,,,,050,"20,000 to 49,999",0,2,-118.60358000000001,34.219691999999995,40.4977953187772,76.71837558330179,1.0,Multi Family House,1960s,36873,46.5,1359618129,0.326327
1972,6037134520.0,378994894882,7000 VASSAR AVE,96.0,0,-23.9,-23.9,84.0,1.0,,Not Available,Yardi Energy,42926.0,,,1.0,95.0,,91303,2019,Multifamily Housing,36.0,70.5,2533.7,36.1,70.6,1955.0,009,"20,000 to 49,999",0,2,-118.60438,34.197525,43.62933465352489,81.0694917391853,1.0,Multi Family House,1950s,42926,36.0,1842641476,0.605771
1923,6037134305.0,379005902304,21837 LANARK ST,,0,,,,,,,,,,,,,,91304,2020,,,,,,,,047,"20,000 to 49,999",0,3,-118.6036,34.21758,40.4977953187772,76.71837558330179,1.0,Multi Family House,1960s,30017,33.5,901020289,0.250309
1936,6037134305.0,379059902300,21827 LANARK ST,69.9,0,-29.4,-29.4,90.0,0.0,,Not Available,"RealPage Utility Management, Inc.",31346.0,,,1.0,95.0,,91304,2018,Multifamily Housing,36.6,67.2,995493.9,37.3,67.9,1963.0,045,"20,000 to 49,999",0,1,-118.60348,34.21758,40.4977953187772,76.71837558330179,1.0,Multi Family House,1960s,31346,36.6,982571716,0.265851
2096,6037135114.0,379072892713,21900 VANOWEN ST,,0,,,,,,,,,,,,,,91303,2020,,,,,,,,047,"100,000+",0,2,-118.60462,34.193745,37.7379730273309,72.77084121579009,0.0,Retail,1990s,243474,29.0,59279588676,2.67093
1981,6037134520.0,379109895156,7034 VASSAR AVE,,0,,,,,,,,,,,,,,91303,2018,,,,,,,,059,"20,000 to 49,999",0,4,-118.60438,34.198055,43.62933465352489,81.0694917391853,1.0,Multi Family House,1980s,24590,44.7,604668100,0.278275
1933,6037134305.0,379162902738,21812 ROSCOE BLVD,97.8,1,-14.3,-14.3,72.0,0.0,,Not Available,Unknown,29749.0,,,1.0,100.0,,91304,2018,Multifamily Housing,56.9,86.6,1579.3,59.0,88.9,1964.0,042,"20,000 to 49,999",0,5,-118.60331000000001,34.219696,40.4977953187772,76.71837558330179,1.0,Multi Family House,1960s,29749,56.9,885003001,0.35408
1941,6037134305.0,379184902168,21817 LANARK ST,,0,,,,,,,,,,,,,,91304,2020,,,,,,,,046,"20,000 to 49,999",0,5,-118.60335500000001,34.21758,40.4977953187772,76.71837558330179,1.0,Multi Family House,1960s,30872,22.4,953080384,0.21396300000000001
1949,6037134305.0,379274902737,21804 ROSCOE BLVD,,0,,,,,,,,,,,,,,91304,2020,,,,,,,,038,"20,000 to 49,999",0,4,-118.60322,34.219696,40.4977953187772,76.71837558330179,1.0,Multi Family House,1960s,29749,54.4,885003001,0.341098
2094,6037135114.0,379328891539,21725 W VICTORY BLVD,996.0,1,7.2,7.2,43.0,0.0,,Not Available,"Nordstrom, Inc",212675.0,6531.0,30.71,1.0,100.0,,91303,2018,Retail Store,69.3,174.1,6531.0,68.6,172.2,2006.0,045,"100,000+",0,5,-118.60198999999999,34.18766,37.7379730273309,72.77084121579009,0.0,Retail,1990s,212675,75.9,45230655625,5.139801
1945,6037134305.0,379389902171,21801 LANARK ST,43.5,1,-43.0,-43.0,98.0,0.0,,Not Available,Investors Management Co.,30872.0,,,1.0,100.0,,91304,2018,Multifamily Housing,20.0,56.1,2158.9,20.0,56.1,1964.0,051,"20,000 to 49,999",0,1,-118.60316499999999,34.21758,40.4977953187772,76.71837558330179,1.0,Multi Family House,1960s,30872,20.0,953080384,0.20642600000000003
1924,6037134305.0,379468902294,21725 LANARK ST,90.9,1,-16.7,-16.7,75.0,1.0,,Not Available,"RealPage Utility Management, Inc.",32004.0,,,1.0,95.0,,91304,2019,Multifamily Housing,48.5,77.6,2296.5,48.8,77.9,1962.0,033,"20,000 to 49,999",0,3,-118.60224,34.21758,40.4977953187772,76.71837558330179,1.0,Multi Family House,1960s,32004,48.5,1024256016,0.31977300000000003
1979,6037134520.0,379573893820,6830 JORDAN AVE,319.6,1,-27.7,-27.7,89.0,0.0,,Not Available,"Vert Energy Group, Inc.",149376.0,,,1.0,100.0,,91303,2017,Multifamily Housing,33.3,69.2,4355.9,34.5,70.6,2000.0,113,"100,000+",0,1,-118.60283000000001,34.194168,43.62933465352489,81.0694917391853,1.0,Multi Family House,1990s,149376,34.2,22313189376,0.429885
2109,6037137103.0,379592888001,21700 OXNARD ST,,0,,,,,,,,,,,,,,91367,2019,,,,,,,,047,"100,000+",0,1,-118.60174599999999,34.179159999999996,24.161762403501395,47.9883970235843,0.0,Office,1990s,495825,42.7,245842430625,8.942499
237,6037113213.0,379593914399,21721 SEPTO ST,313.1,1,11.9,11.9,32.0,0.0,,Not Available,"Vert Energy Group, Inc.",83094.0,,,1.0,100.0,,91311,2017,Multifamily Housing,56.6,129.6,2536.6,56.6,129.6,1971.0,034,"50,000 to 99,999",0,5,-118.60223,34.25114,23.716406291349696,46.87854710556189,0.0,Multi Family House,1970s,83094,56.6,6904612836,0.603859
